tenantId,Name,Description
1,vlingo-actors,vlingo Actor developers and vested parties.
1,vlingo-auth,vlingo Auth developers and vested parties.
1,vlingo-cluster,vlingo Cluster developers and vested parties.
1,vlingo-directory,vlingo Directory developers and vested parties.
1,vlingo-examples,vjlingo Examples developers and vested parties.
1,vlingo-http,vlingo HTTP developers and vested parties.
1,vlingo-lattice,vlingo Lattice developers and vested parties.
1,vlingo-lattice-kotlin,vlingo Lattice Kotlin developers and vested parties.
1,vlingo-schemata,vlingo Schemata developers and vested parties.
1,vlingo-symbio,vlingo Symbio developers and vested parties.
1,vlingo-symbio-dynamodb,vlingo Dynamodb developers and vested parties.
1,vlingo-symbio-geode,vlingo Geode developers and vested parties.
1,vlingo-symbio-jdbc,vlingo CQRS JDBC developers and vested parties.
1,vlingo-symbio-snappydata,vlingo SnappyData developers and vested parties.
1,vlingo-telemetry,vlingo Telemetry developers and vested parties.
1,vlingo-wire,vlingo Wire developers and vested parties.
